sku,product_handle,stock,stock_status,min_order_quantity,case_pack_quantity,batch_number,expiry_date,warehouse_location,last_counted_at,updated_at
HD-MUSCLE-TURMERIC,turmeric,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-B-COMPLEX,b-complex,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-ASHWAGANDHA,ashwagandha,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-FISH-OIL,fish-oil,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-ZINC,zinc,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-VITAHD,vitahd,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-SLEEPHD,sleephd,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-OMEGA3,omega3,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-MAGNESIUM,magnesium,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-MULTIHD,multihd,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-LIVERHD,liverhd,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-KIDNEYHD,kidneyhd,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-K2,k2,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-GLYCOHD,glycohd,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-GREENSHD-CITRUS,greenshd,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-D3,d3,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-CURCUMIN,curcumin,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-COLLAGENHD,collagenhd,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-CITRUS-BERGAMOT,citrus-bergamot,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-BURNHD,burnhd,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-BETAINE-HCL,betaine-hcl,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-PREHD-ESSENTIAL-BLUE-RASPBERRY,prehd-essential,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-EUPHORIA,euphoria,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-STIMHD,stimhd,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-PUMPHD-RAINBOW-STRIPS,pumphd,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-PREHD-BLACK-STRAWBERRY-MANGO,prehd-black,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-PREHD-ELITE-TANGERINE,prehd-elite,100,in_stock,1,12,,,,,2026-05-01T18:38:48.319Z
HD-MUSCLE-PREHD-ULTRA-SOUR-GUMMIES,prehd-ultra,100,in_stock,1,12,,,,,2026-05-01T18:38:48.320Z
HD-MUSCLE-EAAS-UNFLAVORED,eaas,100,in_stock,1,12,,,,,2026-05-01T18:38:48.320Z
HD-MUSCLE-BCAA,bcaa,100,in_stock,1,12,,,,,2026-05-01T18:38:48.320Z
HD-MUSCLE-INTRAHD-GRAPEFRUIT,intrahd,100,in_stock,1,12,,,,,2026-05-01T18:38:48.320Z
HD-MUSCLE-HYDRAHD-TANGERINE,hydrahd,100,in_stock,1,12,,,,,2026-05-01T18:38:48.320Z
HD-MUSCLE-GLUTAHD,glutahd,100,in_stock,1,12,,,,,2026-05-01T18:38:48.320Z
HD-MUSCLE-CREAHD-CREAPURER,creahd-creapurer,100,in_stock,1,12,,,,,2026-05-01T18:38:48.320Z
HD-MUSCLE-CARBHD-UNFLAVORED,carbhd,100,in_stock,1,12,,,,,2026-05-01T18:38:48.320Z
HD-MUSCLE-CASEIN,casein,100,in_stock,1,12,,,,,2026-05-01T18:38:48.320Z
HD-MUSCLE-PROTEIN-PANCAKES,protein-pancakes,100,in_stock,1,12,,,,,2026-05-01T18:38:48.320Z
HD-MUSCLE-PROHD-ISOLATE-CHOCOLATE,prohd-isolate,100,in_stock,1,12,,,,,2026-05-01T18:38:48.320Z
HD-MUSCLE-WHEYHD,wheyhd,100,in_stock,1,12,,,,,2026-05-01T18:38:48.320Z
