row_number,product_title,variant_sku,missing_field,field_category,severity,recommended_action
2,Turmeric,HD-MUSCLE-TURMERIC,nutrition_facts,required,error,Fill nutrition_facts before import
2,Turmeric,HD-MUSCLE-TURMERIC,serving_size,required,error,Fill serving_size before import
2,Turmeric,HD-MUSCLE-TURMERIC,servings_per_container,required,error,Fill servings_per_container before import
2,Turmeric,HD-MUSCLE-TURMERIC,manufacturer,required,error,Fill manufacturer before import
2,Turmeric,HD-MUSCLE-TURMERIC,nutrition_facts,required,error,Fill nutrition_facts before import
2,Turmeric,HD-MUSCLE-TURMERIC,serving_size,required,error,Fill serving_size before import
2,Turmeric,HD-MUSCLE-TURMERIC,servings_per_container,required,error,Fill servings_per_container before import
2,Turmeric,HD-MUSCLE-TURMERIC,warnings,compliance,warning,Fill warnings from product label or mark needs_review = yes
2,Turmeric,HD-MUSCLE-TURMERIC,allergen_info,compliance,warning,Fill allergen_info from product label or mark needs_review = yes
2,Turmeric,HD-MUSCLE-TURMERIC,manufacturer,required,error,Fill manufacturer before import
2,Turmeric,HD-MUSCLE-TURMERIC,importer,compliance,warning,Fill importer from product label or mark needs_review = yes
3,B-Complex,HD-MUSCLE-B-COMPLEX,nutrition_facts,required,error,Fill nutrition_facts before import
3,B-Complex,HD-MUSCLE-B-COMPLEX,serving_size,required,error,Fill serving_size before import
3,B-Complex,HD-MUSCLE-B-COMPLEX,servings_per_container,required,error,Fill servings_per_container before import
3,B-Complex,HD-MUSCLE-B-COMPLEX,manufacturer,required,error,Fill manufacturer before import
3,B-Complex,HD-MUSCLE-B-COMPLEX,nutrition_facts,required,error,Fill nutrition_facts before import
3,B-Complex,HD-MUSCLE-B-COMPLEX,serving_size,required,error,Fill serving_size before import
3,B-Complex,HD-MUSCLE-B-COMPLEX,servings_per_container,required,error,Fill servings_per_container before import
3,B-Complex,HD-MUSCLE-B-COMPLEX,warnings,compliance,warning,Fill warnings from product label or mark needs_review = yes
3,B-Complex,HD-MUSCLE-B-COMPLEX,allergen_info,compliance,warning,Fill allergen_info from product label or mark needs_review = yes
3,B-Complex,HD-MUSCLE-B-COMPLEX,manufacturer,required,error,Fill manufacturer before import
3,B-Complex,HD-MUSCLE-B-COMPLEX,importer,compliance,warning,Fill importer from product label or mark needs_review = yes
4,Ashwagandha,HD-MUSCLE-ASHWAGANDHA,nutrition_facts,required,error,Fill nutrition_facts before import
4,Ashwagandha,HD-MUSCLE-ASHWAGANDHA,serving_size,required,error,Fill serving_size before import
4,Ashwagandha,HD-MUSCLE-ASHWAGANDHA,servings_per_container,required,error,Fill servings_per_container before import
4,Ashwagandha,HD-MUSCLE-ASHWAGANDHA,manufacturer,required,error,Fill manufacturer before import
4,Ashwagandha,HD-MUSCLE-ASHWAGANDHA,nutrition_facts,required,error,Fill nutrition_facts before import
4,Ashwagandha,HD-MUSCLE-ASHWAGANDHA,serving_size,required,error,Fill serving_size before import
4,Ashwagandha,HD-MUSCLE-ASHWAGANDHA,servings_per_container,required,error,Fill servings_per_container before import
4,Ashwagandha,HD-MUSCLE-ASHWAGANDHA,warnings,compliance,warning,Fill warnings from product label or mark needs_review = yes
4,Ashwagandha,HD-MUSCLE-ASHWAGANDHA,allergen_info,compliance,warning,Fill allergen_info from product label or mark needs_review = yes
4,Ashwagandha,HD-MUSCLE-ASHWAGANDHA,manufacturer,required,error,Fill manufacturer before import
4,Ashwagandha,HD-MUSCLE-ASHWAGANDHA,importer,compliance,warning,Fill importer from product label or mark needs_review = yes
5,Fish Oil,HD-MUSCLE-FISH-OIL,nutrition_facts,required,error,Fill nutrition_facts before import
5,Fish Oil,HD-MUSCLE-FISH-OIL,serving_size,required,error,Fill serving_size before import
5,Fish Oil,HD-MUSCLE-FISH-OIL,servings_per_container,required,error,Fill servings_per_container before import
5,Fish Oil,HD-MUSCLE-FISH-OIL,manufacturer,required,error,Fill manufacturer before import
5,Fish Oil,HD-MUSCLE-FISH-OIL,nutrition_facts,required,error,Fill nutrition_facts before import
5,Fish Oil,HD-MUSCLE-FISH-OIL,serving_size,required,error,Fill serving_size before import
5,Fish Oil,HD-MUSCLE-FISH-OIL,servings_per_container,required,error,Fill servings_per_container before import
5,Fish Oil,HD-MUSCLE-FISH-OIL,warnings,compliance,warning,Fill warnings from product label or mark needs_review = yes
5,Fish Oil,HD-MUSCLE-FISH-OIL,allergen_info,compliance,warning,Fill allergen_info from product label or mark needs_review = yes
5,Fish Oil,HD-MUSCLE-FISH-OIL,manufacturer,required,error,Fill manufacturer before import
5,Fish Oil,HD-MUSCLE-FISH-OIL,importer,compliance,warning,Fill importer from product label or mark needs_review = yes
6,Zinc,HD-MUSCLE-ZINC,nutrition_facts,required,error,Fill nutrition_facts before import
6,Zinc,HD-MUSCLE-ZINC,serving_size,required,error,Fill serving_size before import
6,Zinc,HD-MUSCLE-ZINC,servings_per_container,required,error,Fill servings_per_container before import
6,Zinc,HD-MUSCLE-ZINC,manufacturer,required,error,Fill manufacturer before import
6,Zinc,HD-MUSCLE-ZINC,nutrition_facts,required,error,Fill nutrition_facts before import
6,Zinc,HD-MUSCLE-ZINC,serving_size,required,error,Fill serving_size before import
6,Zinc,HD-MUSCLE-ZINC,servings_per_container,required,error,Fill servings_per_container before import
6,Zinc,HD-MUSCLE-ZINC,warnings,compliance,warning,Fill warnings from product label or mark needs_review = yes
6,Zinc,HD-MUSCLE-ZINC,allergen_info,compliance,warning,Fill allergen_info from product label or mark needs_review = yes
6,Zinc,HD-MUSCLE-ZINC,manufacturer,required,error,Fill manufacturer before import
6,Zinc,HD-MUSCLE-ZINC,importer,compliance,warning,Fill importer from product label or mark needs_review = yes
7,VitaHD,HD-MUSCLE-VITAHD,nutrition_facts,required,error,Fill nutrition_facts before import
7,VitaHD,HD-MUSCLE-VITAHD,serving_size,required,error,Fill serving_size before import
7,VitaHD,HD-MUSCLE-VITAHD,servings_per_container,required,error,Fill servings_per_container before import
7,VitaHD,HD-MUSCLE-VITAHD,manufacturer,required,error,Fill manufacturer before import
7,VitaHD,HD-MUSCLE-VITAHD,nutrition_facts,required,error,Fill nutrition_facts before import
7,VitaHD,HD-MUSCLE-VITAHD,serving_size,required,error,Fill serving_size before import
7,VitaHD,HD-MUSCLE-VITAHD,servings_per_container,required,error,Fill servings_per_container before import
7,VitaHD,HD-MUSCLE-VITAHD,warnings,compliance,warning,Fill warnings from product label or mark needs_review = yes
7,VitaHD,HD-MUSCLE-VITAHD,allergen_info,compliance,warning,Fill allergen_info from product label or mark needs_review = yes
7,VitaHD,HD-MUSCLE-VITAHD,manufacturer,required,error,Fill manufacturer before import
7,VitaHD,HD-MUSCLE-VITAHD,importer,compliance,warning,Fill importer from product label or mark needs_review = yes
8,SleepHD,HD-MUSCLE-SLEEPHD,nutrition_facts,required,error,Fill nutrition_facts before import
8,SleepHD,HD-MUSCLE-SLEEPHD,serving_size,required,error,Fill serving_size before import
8,SleepHD,HD-MUSCLE-SLEEPHD,servings_per_container,required,error,Fill servings_per_container before import
8,SleepHD,HD-MUSCLE-SLEEPHD,manufacturer,required,error,Fill manufacturer before import
8,SleepHD,HD-MUSCLE-SLEEPHD,nutrition_facts,required,error,Fill nutrition_facts before import
8,SleepHD,HD-MUSCLE-SLEEPHD,serving_size,required,error,Fill serving_size before import
8,SleepHD,HD-MUSCLE-SLEEPHD,servings_per_container,required,error,Fill servings_per_container before import
8,SleepHD,HD-MUSCLE-SLEEPHD,warnings,compliance,warning,Fill warnings from product label or mark needs_review = yes
8,SleepHD,HD-MUSCLE-SLEEPHD,allergen_info,compliance,warning,Fill allergen_info from product label or mark needs_review = yes
8,SleepHD,HD-MUSCLE-SLEEPHD,manufacturer,required,error,Fill manufacturer before import
8,SleepHD,HD-MUSCLE-SLEEPHD,importer,compliance,warning,Fill importer from product label or mark needs_review = yes
9,Omega3,HD-MUSCLE-OMEGA3,nutrition_facts,required,error,Fill nutrition_facts before import
9,Omega3,HD-MUSCLE-OMEGA3,serving_size,required,error,Fill serving_size before import
9,Omega3,HD-MUSCLE-OMEGA3,servings_per_container,required,error,Fill servings_per_container before import
9,Omega3,HD-MUSCLE-OMEGA3,manufacturer,required,error,Fill manufacturer before import
9,Omega3,HD-MUSCLE-OMEGA3,nutrition_facts,required,error,Fill nutrition_facts before import
9,Omega3,HD-MUSCLE-OMEGA3,serving_size,required,error,Fill serving_size before import
9,Omega3,HD-MUSCLE-OMEGA3,servings_per_container,required,error,Fill servings_per_container before import
9,Omega3,HD-MUSCLE-OMEGA3,warnings,compliance,warning,Fill warnings from product label or mark needs_review = yes
9,Omega3,HD-MUSCLE-OMEGA3,allergen_info,compliance,warning,Fill allergen_info from product label or mark needs_review = yes
9,Omega3,HD-MUSCLE-OMEGA3,manufacturer,required,error,Fill manufacturer before import
9,Omega3,HD-MUSCLE-OMEGA3,importer,compliance,warning,Fill importer from product label or mark needs_review = yes
10,Magnesium,HD-MUSCLE-MAGNESIUM,nutrition_facts,required,error,Fill nutrition_facts before import
10,Magnesium,HD-MUSCLE-MAGNESIUM,serving_size,required,error,Fill serving_size before import
10,Magnesium,HD-MUSCLE-MAGNESIUM,servings_per_container,required,error,Fill servings_per_container before import
10,Magnesium,HD-MUSCLE-MAGNESIUM,manufacturer,required,error,Fill manufacturer before import
10,Magnesium,HD-MUSCLE-MAGNESIUM,nutrition_facts,required,error,Fill nutrition_facts before import
10,Magnesium,HD-MUSCLE-MAGNESIUM,serving_size,required,error,Fill serving_size before import
10,Magnesium,HD-MUSCLE-MAGNESIUM,servings_per_container,required,error,Fill servings_per_container before import
10,Magnesium,HD-MUSCLE-MAGNESIUM,warnings,compliance,warning,Fill warnings from product label or mark needs_review = yes
10,Magnesium,HD-MUSCLE-MAGNESIUM,allergen_info,compliance,warning,Fill allergen_info from product label or mark needs_review = yes
