id,product_handle,image_path,image_type,alt_text,sort_order
img-0-main,turmeric,/public/product-images/hd-muscle/turmeric/main.webp,main,Turmeric - Turmeric,0
img-0-label,turmeric,/public/product-images/hd-muscle/turmeric/label.webp,label,Turmeric - Label,1
img-0-nutrition,turmeric,/public/product-images/hd-muscle/turmeric/nutrition.webp,nutrition,Turmeric - Nutrition,2
img-1-main,b-complex,/public/product-images/hd-muscle/b-complex/main.webp,main,B-Complex - B-Complex,0
img-1-label,b-complex,/public/product-images/hd-muscle/b-complex/label.webp,label,B-Complex - Label,1
img-1-nutrition,b-complex,/public/product-images/hd-muscle/b-complex/nutrition.webp,nutrition,B-Complex - Nutrition,2
img-2-main,ashwagandha,/public/product-images/hd-muscle/ashwagandha/main.webp,main,Ashwagandha - Ashwagandha,0
img-2-label,ashwagandha,/public/product-images/hd-muscle/ashwagandha/label.webp,label,Ashwagandha - Label,1
img-2-nutrition,ashwagandha,/public/product-images/hd-muscle/ashwagandha/nutrition.webp,nutrition,Ashwagandha - Nutrition,2
img-3-main,fish-oil,/public/product-images/hd-muscle/fish-oil/main.webp,main,Fish Oil - Fish Oil,0
img-3-label,fish-oil,/public/product-images/hd-muscle/fish-oil/label.webp,label,Fish Oil - Label,1
img-3-nutrition,fish-oil,/public/product-images/hd-muscle/fish-oil/nutrition.webp,nutrition,Fish Oil - Nutrition,2
img-4-main,zinc,/public/product-images/hd-muscle/zinc/main.webp,main,Zinc - Zinc,0
img-4-gallery-0,zinc,/public/product-images/hd-muscle/zinc/gallery-01.webp,gallery,Zinc - Gallery 1,1
img-4-label,zinc,/public/product-images/hd-muscle/zinc/label.webp,label,Zinc - Label,2
img-4-nutrition,zinc,/public/product-images/hd-muscle/zinc/nutrition.webp,nutrition,Zinc - Nutrition,3
img-5-main,vitahd,/public/product-images/hd-muscle/vitahd/main.webp,main,VitaHD - VitaHD,0
img-5-gallery-0,vitahd,/public/product-images/hd-muscle/vitahd/gallery-01.webp,gallery,VitaHD - Gallery 1,1
img-5-label,vitahd,/public/product-images/hd-muscle/vitahd/label.webp,label,VitaHD - Label,2
img-5-nutrition,vitahd,/public/product-images/hd-muscle/vitahd/nutrition.webp,nutrition,VitaHD - Nutrition,3
img-6-main,sleephd,/public/product-images/hd-muscle/sleephd/main.webp,main,SleepHD - SleepHD,0
img-6-gallery-0,sleephd,/public/product-images/hd-muscle/sleephd/gallery-01.webp,gallery,SleepHD - Gallery 1,1
img-6-label,sleephd,/public/product-images/hd-muscle/sleephd/label.webp,label,SleepHD - Label,2
img-6-nutrition,sleephd,/public/product-images/hd-muscle/sleephd/nutrition.webp,nutrition,SleepHD - Nutrition,3
img-7-main,omega3,/public/product-images/hd-muscle/omega3/main.webp,main,Omega3 - Omega3,0
img-7-gallery-0,omega3,/public/product-images/hd-muscle/omega3/gallery-01.webp,gallery,Omega3 - Gallery 1,1
img-7-label,omega3,/public/product-images/hd-muscle/omega3/label.webp,label,Omega3 - Label,2
img-7-nutrition,omega3,/public/product-images/hd-muscle/omega3/nutrition.webp,nutrition,Omega3 - Nutrition,3
img-8-main,magnesium,/public/product-images/hd-muscle/magnesium/main.webp,main,Magnesium - Magnesium,0
img-8-label,magnesium,/public/product-images/hd-muscle/magnesium/label.webp,label,Magnesium - Label,1
img-8-nutrition,magnesium,/public/product-images/hd-muscle/magnesium/nutrition.webp,nutrition,Magnesium - Nutrition,2
img-9-main,multihd,/public/product-images/hd-muscle/multihd/main.webp,main,MultiHD - MultiHD,0
img-9-gallery-0,multihd,/public/product-images/hd-muscle/multihd/gallery-01.webp,gallery,MultiHD - Gallery 1,1
img-9-label,multihd,/public/product-images/hd-muscle/multihd/label.webp,label,MultiHD - Label,2
img-9-nutrition,multihd,/public/product-images/hd-muscle/multihd/nutrition.webp,nutrition,MultiHD - Nutrition,3
img-10-main,liverhd,/public/product-images/hd-muscle/liverhd/main.webp,main,LiverHD - LiverHD,0
img-10-gallery-0,liverhd,/public/product-images/hd-muscle/liverhd/gallery-01.webp,gallery,LiverHD - Gallery 1,1
img-10-label,liverhd,/public/product-images/hd-muscle/liverhd/label.webp,label,LiverHD - Label,2
img-10-nutrition,liverhd,/public/product-images/hd-muscle/liverhd/nutrition.webp,nutrition,LiverHD - Nutrition,3
img-11-main,kidneyhd,/public/product-images/hd-muscle/kidneyhd/main.webp,main,KidneyHD - KidneyHD,0
img-11-gallery-0,kidneyhd,/public/product-images/hd-muscle/kidneyhd/gallery-01.webp,gallery,KidneyHD - Gallery 1,1
