sku,product_handle,flavor,size,variant_title,barcode,mrp,sale_price,cost_price,wholesale_price,distributor_price,currency,tax_rate,created_at
HD-MUSCLE-TURMERIC,turmeric,,,Turmeric,,2489,2489,0,0,0,INR,18,2026-05-01T18:37:31.780Z
HD-MUSCLE-B-COMPLEX,b-complex,,,B-Complex,,2489,2489,0,0,0,INR,18,2026-05-01T18:37:31.780Z
HD-MUSCLE-ASHWAGANDHA,ashwagandha,,,Ashwagandha,,2323,2323,0,0,0,INR,18,2026-05-01T18:37:31.780Z
HD-MUSCLE-FISH-OIL,fish-oil,,,Fish Oil,,1991,1991,0,0,0,INR,18,2026-05-01T18:37:31.780Z
HD-MUSCLE-ZINC,zinc,,,Zinc,,1327,1327,0,0,0,INR,18,2026-05-01T18:37:31.780Z
HD-MUSCLE-VITAHD,vitahd,,,VitaHD,,3485,3485,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-SLEEPHD,sleephd,,,SleepHD,,3319,3319,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-OMEGA3,omega3,,,Omega3,,2489,2489,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-MAGNESIUM,magnesium,,,Magnesium,,1825,1825,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-MULTIHD,multihd,,,MultiHD,,2987,2987,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-LIVERHD,liverhd,,,LiverHD,,3319,3319,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-KIDNEYHD,kidneyhd,,,KidneyHD,,2821,2821,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-K2,k2,,,K2,,1991,1991,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-GLYCOHD,glycohd,,,GlycoHD,,3983,3983,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-GREENSHD-CITRUS,greenshd,Citrus,,Citrus,,2987,2987,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-D3,d3,,,D3,,1493,1493,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-CURCUMIN,curcumin,,,Curcumin,,2489,2489,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-COLLAGENHD,collagenhd,,,CollagenHD,,3319,3319,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-CITRUS-BERGAMOT,citrus-bergamot,,,Citrus Bergamot,,2323,2323,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-BURNHD,burnhd,,,BurnHD,,3485,3485,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-BETAINE-HCL,betaine-hcl,,,Betaine HCL,,1991,1991,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-PREHD-ESSENTIAL-BLUE-RASPBERRY,prehd-essential,Blue Raspberry,,Blue Raspberry,,2489,2489,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-EUPHORIA,euphoria,,,Euphoria,,3319,3319,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-STIMHD,stimhd,,,StimHD,,1493,1493,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-PUMPHD-RAINBOW-STRIPS,pumphd,Rainbow Strips,,Rainbow Strips,,4315,4315,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-PREHD-BLACK-STRAWBERRY-MANGO,prehd-black,Strawberry Mango,,Strawberry Mango,,4979,4979,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-PREHD-ELITE-TANGERINE,prehd-elite,Tangerine,,Tangerine,,4481,4481,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-PREHD-ULTRA-SOUR-GUMMIES,prehd-ultra,Sour Gummies,,Sour Gummies,,3485,3485,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-EAAS-UNFLAVORED,eaas,Unflavored,,Unflavored,,2821,2821,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-BCAA,bcaa,,,BCAA,,2323,2323,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-INTRAHD-GRAPEFRUIT,intrahd,Grapefruit,,Grapefruit,,3485,3485,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-HYDRAHD-TANGERINE,hydrahd,Tangerine,,Tangerine,,2489,2489,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-GLUTAHD,glutahd,,,GlutaHD,,1991,1991,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-CREAHD-CREAPURER,creahd-creapurer,,,CreaHD (Creapure®),,3485,3485,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-CARBHD-UNFLAVORED,carbhd,Unflavored,,Unflavored,,3983,3983,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-CASEIN,casein,,,Casein,,3983,3983,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-PROTEIN-PANCAKES,protein-pancakes,,,Protein Pancakes,,2987,2987,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-PROHD-ISOLATE-CHOCOLATE,prohd-isolate,Chocolate,,Chocolate,,5975,5975,0,0,0,INR,18,2026-05-01T18:37:31.781Z
HD-MUSCLE-WHEYHD,wheyhd,,,WheyHD,,4481,4481,0,0,0,INR,18,2026-05-01T18:37:31.781Z
