product_handle,variant_sku,seo_title,seo_description,seo_keywords,meta_canonical,og_image
turmeric,HD-MUSCLE-TURMERIC,Buy HEALTH + WELLNESS by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/turmeric/main.webp
b-complex,HD-MUSCLE-B-COMPLEX,Buy HEALTH + WELLNESS by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/b-complex/main.webp
ashwagandha,HD-MUSCLE-ASHWAGANDHA,Buy HEALTH + WELLNESS by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/ashwagandha/main.webp
fish-oil,HD-MUSCLE-FISH-OIL,Buy HEALTH + WELLNESS by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/fish-oil/main.webp
zinc,HD-MUSCLE-ZINC,Buy HEALTH + WELLNESS by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/zinc/main.webp
vitahd,HD-MUSCLE-VITAHD,Buy HEALTH + WELLNESS by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/vitahd/main.webp
sleephd,HD-MUSCLE-SLEEPHD,Buy HEALTH + WELLNESS by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/sleephd/main.webp
omega3,HD-MUSCLE-OMEGA3,Buy HEALTH + WELLNESS by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/omega3/main.webp
magnesium,HD-MUSCLE-MAGNESIUM,Buy HEALTH + WELLNESS by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/magnesium/main.webp
multihd,HD-MUSCLE-MULTIHD,Buy HEALTH + WELLNESS by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/multihd/main.webp
