product_title,variant_sku,source_website,source_product_url,source_image_urls,data_confidence,has_source_url,has_source_images,competitor_url_risk,notes
Turmeric,HD-MUSCLE-TURMERIC,hdmuscle.in,https://hdmuscle.in/products/turmeric/,https://hdmuscle.in/assets/hero-bg.jpg,medium,yes,yes,no,No issues
B-Complex,HD-MUSCLE-B-COMPLEX,hdmuscle.in,https://hdmuscle.in/products/b-complex/,https://hdmuscle.in/assets/hero-bg.jpg,medium,yes,yes,no,No issues
Ashwagandha,HD-MUSCLE-ASHWAGANDHA,hdmuscle.in,https://hdmuscle.in/products/ashwagandha/,https://hdmuscle.in/assets/hero-bg.jpg,medium,yes,yes,no,No issues
Fish Oil,HD-MUSCLE-FISH-OIL,hdmuscle.in,https://hdmuscle.in/products/fish-oil/,https://hdmuscle.in/assets/hero-bg.jpg,medium,yes,yes,no,No issues
Zinc,HD-MUSCLE-ZINC,hdmuscle.in,https://hdmuscle.in/products/zinc/,"https://hdmuscle.in/essentialzinc_us-5bc6921de452.png,https://hdmuscle.in/zinc-suppfacts-4d9307ba9c2f.jpg",medium,yes,yes,no,No issues
VitaHD,HD-MUSCLE-VITAHD,hdmuscle.in,https://hdmuscle.in/products/vitahd/,"https://hdmuscle.in/vitahd_346db6d9-6309-4bf2-bbfc-9ac615129d15-a87a24d19929.png,https://hdmuscle.in/vitahd-29b3c277e488.jpg",medium,yes,yes,no,No issues
SleepHD,HD-MUSCLE-SLEEPHD,hdmuscle.in,https://hdmuscle.in/products/sleephd/,"https://hdmuscle.in/sleephd_front-132a4b82f333.png,https://hdmuscle.in/sleephd_web1-d6d6eabbf104.png",medium,yes,yes,no,No issues
Omega3,HD-MUSCLE-OMEGA3,hdmuscle.in,https://hdmuscle.in/products/omega3/,"https://hdmuscle.in/omega3-99a2300a6e51.png,https://hdmuscle.in/omega3-205faac727f8.jpg",medium,yes,yes,no,No issues
Magnesium,HD-MUSCLE-MAGNESIUM,hdmuscle.in,https://hdmuscle.in/products/magnesium/,https://hdmuscle.in/mag-suppfacts-240961334426.jpg,medium,yes,yes,no,No issues
MultiHD,HD-MUSCLE-MULTIHD,hdmuscle.in,https://hdmuscle.in/products/multihd/,"https://hdmuscle.in/multi-hd-us-web-11980b086482.jpg,https://hdmuscle.in/multihd-suppfacts-4a8be796bde8.png",medium,yes,yes,no,No issues
LiverHD,HD-MUSCLE-LIVERHD,hdmuscle.in,https://hdmuscle.in/products/liverhd/,"https://hdmuscle.in/liverhd_front-029493f9bcba.png,https://hdmuscle.in/liverhd_suppfacts-424b0ecc1f79.png",medium,yes,yes,no,No issues
KidneyHD,HD-MUSCLE-KIDNEYHD,hdmuscle.in,https://hdmuscle.in/products/kidneyhd/,"https://hdmuscle.in/kidneyhd_9cf6a5b3-b7c3-489d-8f65-2b92f588c431-534b14af6a44.png,https://hdmuscle.in/kidneyhd_suppfacts-89d6b80e82de.png",medium,yes,yes,no,No issues
K2,HD-MUSCLE-K2,hdmuscle.in,https://hdmuscle.in/products/k2/,"https://hdmuscle.in/essentialk2_front-08a7922fdb23.png,https://hdmuscle.in/k2_b03386e3-d556-4056-b664-9abb0594f3d6-3e48e03896d4.jpg",medium,yes,yes,no,No issues
GlycoHD,HD-MUSCLE-GLYCOHD,hdmuscle.in,https://hdmuscle.in/products/glycohd/,"https://hdmuscle.in/glycohd_front-c421c28a8d46.png,https://hdmuscle.in/glyco_hd-786d95679184.jpg",medium,yes,yes,no,No issues
GreensHD,HD-MUSCLE-GREENSHD-CITRUS,hdmuscle.in,https://hdmuscle.in/products/greenshd/,"https://hdmuscle.in/greenshd-citrus-us_92d08dad-4bb8-407d-924a-25b91d9b49d0-2aee1aa60f8c.jpg,https://hdmuscle.in/greenshd-citrus-us_3_e2243ca8-713f-42e5-8095-3ca4d28721c9-685b95d866a9.png",medium,yes,yes,no,No issues
D3,HD-MUSCLE-D3,hdmuscle.in,https://hdmuscle.in/products/d3/,"https://hdmuscle.in/vtsd3w7w-c70a7cdb0c62.png,https://hdmuscle.in/vtsd3w7w-177420c4554d.png",medium,yes,yes,no,No issues
Curcumin,HD-MUSCLE-CURCUMIN,hdmuscle.in,https://hdmuscle.in/products/curcumin/,"https://hdmuscle.in/curcumin-739f2f51adaa.png,https://hdmuscle.in/curcumin-513e23fdfecd.jpg",medium,yes,yes,no,No issues
CollagenHD,HD-MUSCLE-COLLAGENHD,hdmuscle.in,https://hdmuscle.in/products/collagenhd/,"https://hdmuscle.in/collagenhd_front_unflavored-us-6c934157a97a.jpg,https://hdmuscle.in/collagenhd-us-68d3b931edd0.jpg",medium,yes,yes,no,No issues
Citrus Bergamot,HD-MUSCLE-CITRUS-BERGAMOT,hdmuscle.in,https://hdmuscle.in/products/citrus-bergamot/,https://hdmuscle.in/citrusbergl-0fd1bea4415d.jpg,medium,yes,yes,no,No issues
BurnHD,HD-MUSCLE-BURNHD,hdmuscle.in,https://hdmuscle.in/products/burnhd/,"https://hdmuscle.in/burnhd_front-b81b8d88cde6.png,https://hdmuscle.in/burn_sfp-2b2a131f0140.jpg",medium,yes,yes,no,No issues
Betaine HCL,HD-MUSCLE-BETAINE-HCL,hdmuscle.in,https://hdmuscle.in/products/betainehcl/,"https://hdmuscle.in/betainehcl-29d09122d0b9.png,https://hdmuscle.in/betainehcl-c25cd918e354.jpg",medium,yes,yes,no,No issues
PreHD Essential,HD-MUSCLE-PREHD-ESSENTIAL-BLUE-RASPBERRY,hdmuscle.in,https://hdmuscle.in/products/prehd-essential/,"https://hdmuscle.in/prehd-essential-blue-rasberry-eb39ae9ce7f5.png,https://hdmuscle.in/prehd-essential-suppfacts-blue-raspberry_us-051572b1552e.png",medium,yes,yes,no,No issues
Euphoria,HD-MUSCLE-EUPHORIA,hdmuscle.in,https://hdmuscle.in/products/euphoria/,https://hdmuscle.in/assets/hero-bg.jpg,medium,yes,yes,no,No issues
StimHD,HD-MUSCLE-STIMHD,hdmuscle.in,https://hdmuscle.in/products/stimhd/,"https://hdmuscle.in/stimhd_9d7400de-4473-4af8-bd68-902c6689781d-fdd59a2755d1.png,https://hdmuscle.in/stimhd-supp-facts-0d5d1ec4e693.png",medium,yes,yes,no,No issues
PumpHD,HD-MUSCLE-PUMPHD-RAINBOW-STRIPS,hdmuscle.in,https://hdmuscle.in/products/pumphd/,"https://hdmuscle.in/pumphd-rainbow-strips-ead9f7c7e482.png,https://hdmuscle.in/pumphd-supp-facts-rainbow-strips-9cae0df1b395.png",medium,yes,yes,no,No issues
PreHD Black,HD-MUSCLE-PREHD-BLACK-STRAWBERRY-MANGO,hdmuscle.in,https://hdmuscle.in/products/prehd-black/,"https://hdmuscle.in/products/prehd-black/StrawMango.png,https://hdmuscle.in/products/prehd-black/Black_StrawMango.jpg",medium,yes,yes,no,No issues
PreHD Elite,HD-MUSCLE-PREHD-ELITE-TANGERINE,hdmuscle.in,https://hdmuscle.in/products/prehd-elite/,"https://hdmuscle.in/prehd-elite_tangerine-can-v2-15e1790f303a.jpg,https://hdmuscle.in/elite_pinklemon-b475a5ed9e0f.jpg",medium,yes,yes,no,No issues
PreHD Ultra,HD-MUSCLE-PREHD-ULTRA-SOUR-GUMMIES,hdmuscle.in,https://hdmuscle.in/products/prehd-ultra/,"https://hdmuscle.in/ultra_sourgummies-f20633a13a95.png,https://hdmuscle.in/ultra_sourgummies-7918db0b2cb4.jpg",medium,yes,yes,no,No issues
EAAs,HD-MUSCLE-EAAS-UNFLAVORED,hdmuscle.in,https://hdmuscle.in/products/eaahd/,"https://hdmuscle.in/eaahd_front_unflavored-black-lid-b9e66b2a11b7.png,https://hdmuscle.in/eaahd-suppfacts-unflavored-cb0f0e128ba6.png",medium,yes,yes,no,No issues
BCAA,HD-MUSCLE-BCAA,hdmuscle.in,https://hdmuscle.in/products/bcaa/,https://hdmuscle.in/assets/hero-bg.jpg,medium,yes,yes,no,No issues
