sku,product_handle,cost_price,wholesale_price,distributor_price,mrp,sale_price,min_order_quantity,case_pack_quantity,tier_gym_owner,tier_retailer,tier_wholesaler,tier_distributor,currency
HD-MUSCLE-TURMERIC,turmeric,0,0,0,2489,2489,1,12,0,0,0,0,INR
HD-MUSCLE-B-COMPLEX,b-complex,0,0,0,2489,2489,1,12,0,0,0,0,INR
HD-MUSCLE-ASHWAGANDHA,ashwagandha,0,0,0,2323,2323,1,12,0,0,0,0,INR
HD-MUSCLE-FISH-OIL,fish-oil,0,0,0,1991,1991,1,12,0,0,0,0,INR
HD-MUSCLE-ZINC,zinc,0,0,0,1327,1327,1,12,0,0,0,0,INR
HD-MUSCLE-VITAHD,vitahd,0,0,0,3485,3485,1,12,0,0,0,0,INR
HD-MUSCLE-SLEEPHD,sleephd,0,0,0,3319,3319,1,12,0,0,0,0,INR
HD-MUSCLE-OMEGA3,omega3,0,0,0,2489,2489,1,12,0,0,0,0,INR
HD-MUSCLE-MAGNESIUM,magnesium,0,0,0,1825,1825,1,12,0,0,0,0,INR
HD-MUSCLE-MULTIHD,multihd,0,0,0,2987,2987,1,12,0,0,0,0,INR
HD-MUSCLE-LIVERHD,liverhd,0,0,0,3319,3319,1,12,0,0,0,0,INR
HD-MUSCLE-KIDNEYHD,kidneyhd,0,0,0,2821,2821,1,12,0,0,0,0,INR
HD-MUSCLE-K2,k2,0,0,0,1991,1991,1,12,0,0,0,0,INR
HD-MUSCLE-GLYCOHD,glycohd,0,0,0,3983,3983,1,12,0,0,0,0,INR
HD-MUSCLE-GREENSHD-CITRUS,greenshd,0,0,0,2987,2987,1,12,0,0,0,0,INR
HD-MUSCLE-D3,d3,0,0,0,1493,1493,1,12,0,0,0,0,INR
HD-MUSCLE-CURCUMIN,curcumin,0,0,0,2489,2489,1,12,0,0,0,0,INR
HD-MUSCLE-COLLAGENHD,collagenhd,0,0,0,3319,3319,1,12,0,0,0,0,INR
HD-MUSCLE-CITRUS-BERGAMOT,citrus-bergamot,0,0,0,2323,2323,1,12,0,0,0,0,INR
HD-MUSCLE-BURNHD,burnhd,0,0,0,3485,3485,1,12,0,0,0,0,INR
HD-MUSCLE-BETAINE-HCL,betaine-hcl,0,0,0,1991,1991,1,12,0,0,0,0,INR
HD-MUSCLE-PREHD-ESSENTIAL-BLUE-RASPBERRY,prehd-essential,0,0,0,2489,2489,1,12,0,0,0,0,INR
HD-MUSCLE-EUPHORIA,euphoria,0,0,0,3319,3319,1,12,0,0,0,0,INR
HD-MUSCLE-STIMHD,stimhd,0,0,0,1493,1493,1,12,0,0,0,0,INR
HD-MUSCLE-PUMPHD-RAINBOW-STRIPS,pumphd,0,0,0,4315,4315,1,12,0,0,0,0,INR
HD-MUSCLE-PREHD-BLACK-STRAWBERRY-MANGO,prehd-black,0,0,0,4979,4979,1,12,0,0,0,0,INR
HD-MUSCLE-PREHD-ELITE-TANGERINE,prehd-elite,0,0,0,4481,4481,1,12,0,0,0,0,INR
HD-MUSCLE-PREHD-ULTRA-SOUR-GUMMIES,prehd-ultra,0,0,0,3485,3485,1,12,0,0,0,0,INR
HD-MUSCLE-EAAS-UNFLAVORED,eaas,0,0,0,2821,2821,1,12,0,0,0,0,INR
HD-MUSCLE-BCAA,bcaa,0,0,0,2323,2323,1,12,0,0,0,0,INR
HD-MUSCLE-INTRAHD-GRAPEFRUIT,intrahd,0,0,0,3485,3485,1,12,0,0,0,0,INR
HD-MUSCLE-HYDRAHD-TANGERINE,hydrahd,0,0,0,2489,2489,1,12,0,0,0,0,INR
HD-MUSCLE-GLUTAHD,glutahd,0,0,0,1991,1991,1,12,0,0,0,0,INR
HD-MUSCLE-CREAHD-CREAPURER,creahd-creapurer,0,0,0,3485,3485,1,12,0,0,0,0,INR
HD-MUSCLE-CARBHD-UNFLAVORED,carbhd,0,0,0,3983,3983,1,12,0,0,0,0,INR
HD-MUSCLE-CASEIN,casein,0,0,0,3983,3983,1,12,0,0,0,0,INR
HD-MUSCLE-PROTEIN-PANCAKES,protein-pancakes,0,0,0,2987,2987,1,12,0,0,0,0,INR
HD-MUSCLE-PROHD-ISOLATE-CHOCOLATE,prohd-isolate,0,0,0,5975,5975,1,12,0,0,0,0,INR
HD-MUSCLE-WHEYHD,wheyhd,0,0,0,4481,4481,1,12,0,0,0,0,INR
